dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
libras_alphabet,transformer,angle,5,5,15,600,42,0.928844,0.005061,no-pretrain; json-splits
arabic_sign_alphabet,transformer,angle,1,5,15,600,42,0.7856,0.009181,no-pretrain; json-splits
arabic_sign_alphabet,transformer,angle,3,5,15,600,42,0.857533,0.006867,no-pretrain; json-splits
arabic_sign_alphabet,transformer,angle,5,5,15,600,42,0.877756,0.006215,no-pretrain; json-splits
thai_fingerspelling,transformer,raw_angle,1,5,15,600,42,0.423244,0.007472,no-pretrain; json-splits
thai_fingerspelling,transformer,raw_angle,3,5,15,600,42,0.471156,0.007334,no-pretrain; json-splits
thai_fingerspelling,transformer,raw_angle,5,5,15,600,42,0.486578,0.00757,no-pretrain; json-splits
asl_alphabet,transformer,raw_angle,1,5,15,600,42,0.886733,0.008253,no-pretrain; json-splits
asl_alphabet,transformer,raw_angle,3,5,15,600,42,0.970111,0.00316,no-pretrain; json-splits
asl_alphabet,transformer,raw_angle,5,5,15,600,42,0.970667,0.00249,no-pretrain; json-splits
libras_alphabet,transformer,raw_angle,1,5,15,600,42,0.724778,0.009927,no-pretrain; json-splits
libras_alphabet,transformer,raw_angle,3,5,15,600,42,0.822378,0.007631,no-pretrain; json-splits
libras_alphabet,transformer,raw_angle,5,5,15,600,42,0.847511,0.007313,no-pretrain; json-splits
arabic_sign_alphabet,transformer,raw_angle,1,5,15,600,42,0.559356,0.009691,no-pretrain; json-splits
arabic_sign_alphabet,transformer,raw_angle,3,5,15,600,42,0.632533,0.009132,no-pretrain; json-splits
arabic_sign_alphabet,transformer,raw_angle,5,5,15,600,42,0.670867,0.009141,no-pretrain; json-splits
