source,target,encoder,representation,mode,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95
arabic_sign_alphabet,asl_alphabet,mlp,raw,frozen,5,5,15,600,42,0.9414,0.0043
arabic_sign_alphabet,asl_alphabet,mlp,raw,adapted,5,5,15,600,42,0.9552,0.0038
arabic_sign_alphabet,asl_alphabet,mlp,angle,frozen,5,5,15,600,42,0.8745,0.0071
arabic_sign_alphabet,asl_alphabet,mlp,angle,adapted,5,5,15,600,42,0.8969,0.0063
arabic_sign_alphabet,asl_alphabet,mlp,raw_angle,frozen,5,5,15,600,42,0.9356,0.0047
arabic_sign_alphabet,asl_alphabet,mlp,raw_angle,adapted,5,5,15,600,42,0.9497,0.0043
