source,target,encoder,representation,mode,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95
libras_alphabet,arabic_sign_alphabet,mlp,raw,frozen,5,5,15,600,42,0.8978,0.0061
libras_alphabet,arabic_sign_alphabet,mlp,raw,adapted,5,5,15,600,42,0.918,0.0056
libras_alphabet,arabic_sign_alphabet,mlp,angle,frozen,5,5,15,600,42,0.9123,0.0055
libras_alphabet,arabic_sign_alphabet,mlp,angle,adapted,5,5,15,600,42,0.922,0.0053
libras_alphabet,arabic_sign_alphabet,mlp,raw_angle,frozen,5,5,15,600,42,0.9167,0.0055
libras_alphabet,arabic_sign_alphabet,mlp,raw_angle,adapted,5,5,15,600,42,0.9384,0.0047
