dataset,encoder,representation,k_shot,seeds,n_seeds,accuracy_mean,accuracy_std,mean_episode_ci95
thai_fingerspelling,mlp,raw_angle,3,42 1337 2024,3,0.861378,0.006186,0.008355
thai_fingerspelling,mlp,raw_angle,5,42 1337 2024,3,0.872511,0.005242,0.007989
thai_fingerspelling,transformer,raw,1,42 1337 2024,3,0.713289,0.008237,0.012209
thai_fingerspelling,transformer,raw,3,42 1337 2024,3,0.803756,0.011285,0.009977
thai_fingerspelling,transformer,raw,5,42 1337 2024,3,0.820889,0.011663,0.009291
thai_fingerspelling,transformer,angle,1,42 1337 2024,3,0.690422,0.002104,0.011909
thai_fingerspelling,transformer,angle,3,42 1337 2024,3,0.792667,0.006229,0.009713
thai_fingerspelling,transformer,angle,5,42 1337 2024,3,0.818267,0.005394,0.008953
thai_fingerspelling,transformer,raw_angle,1,42 1337 2024,3,0.790711,0.006267,0.010789
thai_fingerspelling,transformer,raw_angle,3,42 1337 2024,3,0.866511,0.007112,0.008148
thai_fingerspelling,transformer,raw_angle,5,42 1337 2024,3,0.880489,0.004329,0.007716
