dataset,encoder,representation,n_way,k_shot,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
libras_alphabet,mlp,raw_angle,5,5,5,5,100,100,5,5,0.983200,0.007894,0.045304,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_5shot.pt
thai_fingerspelling,mlp,raw_angle,5,1,5,5,100,100,5,5,0.686400,0.029286,0.887381,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_1shot.pt
thai_fingerspelling,mlp,raw_angle,5,3,5,5,100,100,5,5,0.788800,0.024109,0.589514,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_3shot.pt
thai_fingerspelling,mlp,raw_angle,5,5,5,5,100,100,5,5,0.805600,0.023027,0.527300,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_5shot.pt
asl_alphabet,transformer,raw,5,1,5,5,100,100,5,5,0.890400,0.025548,0.253967,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_1shot.pt
asl_alphabet,transformer,raw,5,3,5,5,100,100,5,5,0.932400,0.017608,0.169728,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_3shot.pt
asl_alphabet,transformer,raw,5,5,5,5,100,100,5,5,0.944000,0.012656,0.145742,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_5shot.pt
arabic_sign_alphabet,transformer,raw,5,1,5,5,100,100,5,5,0.829600,0.025131,0.465818,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_1shot.pt
arabic_sign_alphabet,transformer,raw,5,3,5,5,100,100,5,5,0.913600,0.016137,0.220397,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_3shot.pt
arabic_sign_alphabet,transformer,raw,5,5,5,5,100,100,5,5,0.926000,0.016239,0.194793,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_5shot.pt
libras_alphabet,transformer,raw,5,1,5,5,100,100,5,5,0.904400,0.018940,0.247920,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_1shot.pt
libras_alphabet,transformer,raw,5,3,5,5,100,100,5,5,0.956400,0.011955,0.159859,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_3shot.pt
libras_alphabet,transformer,raw,5,5,5,5,100,100,5,5,0.966400,0.010959,0.134455,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_5shot.pt
thai_fingerspelling,transformer,raw,5,1,5,5,100,100,5,5,0.572400,0.027673,1.207123,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_1shot.pt
thai_fingerspelling,transformer,raw,5,3,5,5,100,100,5,5,0.676000,0.026002,0.879389,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_3shot.pt
thai_fingerspelling,transformer,raw,5,5,5,5,100,100,5,5,0.691200,0.025486,0.804952,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_5shot.pt
asl_alphabet,transformer,angle,5,1,5,5,100,100,5,5,0.898000,0.021532,0.223233,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_1shot.pt
asl_alphabet,transformer,angle,5,3,5,5,100,100,5,5,0.933600,0.015083,0.172998,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_3shot.pt
asl_alphabet,transformer,angle,5,5,5,5,100,100,5,5,0.962000,0.011760,0.126754,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_5shot.pt
arabic_sign_alphabet,transformer,angle,5,1,5,5,100,100,5,5,0.864800,0.024049,0.359281,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_1shot.pt
arabic_sign_alphabet,transformer,angle,5,3,5,5,100,100,5,5,0.916000,0.016733,0.233857,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_3shot.pt
arabic_sign_alphabet,transformer,angle,5,5,5,5,100,100,5,5,0.918400,0.016563,0.218544,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_5shot.pt
libras_alphabet,transformer,angle,5,1,5,5,100,100,5,5,0.915200,0.018081,0.243343,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_1shot.pt
libras_alphabet,transformer,angle,5,3,5,5,100,100,5,5,0.944400,0.014863,0.142948,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_3shot.pt
libras_alphabet,transformer,angle,5,5,5,5,100,100,5,5,0.945200,0.016096,0.140497,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_5shot.pt
thai_fingerspelling,transformer,angle,5,1,5,5,100,100,5,4,0.595200,0.030401,1.187946,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_1shot.pt
thai_fingerspelling,transformer,angle,5,3,5,5,100,100,5,5,0.669600,0.026689,0.953022,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_3shot.pt
thai_fingerspelling,transformer,angle,5,5,5,5,100,100,5,5,0.690400,0.026337,0.848736,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_5shot.pt
asl_alphabet,transformer,raw_angle,5,1,5,5,100,100,5,5,0.954800,0.015507,0.106043,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_1shot.pt
asl_alphabet,transformer,raw_angle,5,3,5,5,100,100,5,4,0.982400,0.007334,0.055001,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_3shot.pt
asl_alphabet,transformer,raw_angle,5,5,5,5,100,100,5,5,0.987600,0.005424,0.039161,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_5shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,1,5,5,100,100,5,5,0.928800,0.016437,0.186925,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_1shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,3,5,5,100,100,5,5,0.961600,0.011946,0.119931,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_3shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,5,5,5,100,100,5,5,0.966000,0.009928,0.105712,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_5shot.pt
libras_alphabet,transformer,raw_angle,5,1,5,5,100,100,5,5,0.974800,0.010551,0.080123,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_angle_1shot.pt
libras_alphabet,transformer,raw_angle,5,3,5,5,100,100,5,5,0.982000,0.007909,0.052540,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_angle_3shot.pt
libras_alphabet,transformer,raw_angle,5,5,5,5,100,100,5,5,0.984400,0.006194,0.046339,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_angle_5shot.pt
thai_fingerspelling,transformer,raw_angle,5,1,5,5,100,100,5,5,0.666800,0.031023,0.985217,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_angle_1shot.pt
thai_fingerspelling,transformer,raw_angle,5,3,5,5,100,100,5,5,0.756800,0.024884,0.691755,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_angle_3shot.pt
thai_fingerspelling,transformer,raw_angle,5,5,5,5,100,100,5,5,0.786800,0.023402,0.603218,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_angle_5shot.pt
