source,target,encoder,representation,mode,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95
thai_fingerspelling,asl_alphabet,mlp,raw,frozen,5,5,15,600,42,0.9451,0.004
thai_fingerspelling,asl_alphabet,mlp,raw,adapted,5,5,15,600,42,0.9631,0.0034
thai_fingerspelling,asl_alphabet,mlp,angle,frozen,5,5,15,600,42,0.8871,0.006
thai_fingerspelling,asl_alphabet,mlp,angle,adapted,5,5,15,600,42,0.899,0.0058
thai_fingerspelling,asl_alphabet,mlp,raw_angle,frozen,5,5,15,600,42,0.9508,0.0037
thai_fingerspelling,asl_alphabet,mlp,raw_angle,adapted,5,5,15,600,42,0.9585,0.0039
