source,target,encoder,representation,mode,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95
thai_fingerspelling,arabic_sign_alphabet,mlp,raw,frozen,5,5,15,600,42,0.7381,0.008
thai_fingerspelling,arabic_sign_alphabet,mlp,raw,adapted,5,5,15,600,42,0.8982,0.006
thai_fingerspelling,arabic_sign_alphabet,mlp,angle,frozen,5,5,15,600,42,0.9024,0.0054
thai_fingerspelling,arabic_sign_alphabet,mlp,angle,adapted,5,5,15,600,42,0.9236,0.0051
thai_fingerspelling,arabic_sign_alphabet,mlp,raw_angle,frozen,5,5,15,600,42,0.7936,0.0081
thai_fingerspelling,arabic_sign_alphabet,mlp,raw_angle,adapted,5,5,15,600,42,0.9395,0.0048
