dataset,encoder,representation,k_shot,n_way,q_query,episodes,seed,accuracy_mean,ci95,notes
arabic_sign_alphabet,transformer,angle,5,5,15,600,42,0.877978,0.006229,no-pretrain; json-splits
thai_fingerspelling,transformer,angle,1,5,15,600,42,0.445644,0.008167,no-pretrain; json-splits
thai_fingerspelling,transformer,angle,3,5,15,600,42,0.505756,0.008055,no-pretrain; json-splits
thai_fingerspelling,transformer,angle,5,5,15,600,42,0.5184,0.00801,no-pretrain; json-splits
asl_alphabet,transformer,raw_angle,1,5,15,600,42,0.908156,0.006612,no-pretrain; json-splits
asl_alphabet,transformer,raw_angle,3,5,15,600,42,0.947267,0.00446,no-pretrain; json-splits
asl_alphabet,transformer,raw_angle,5,5,15,600,42,0.954022,0.004058,no-pretrain; json-splits
libras_alphabet,transformer,raw_angle,1,5,15,600,42,0.728267,0.009841,no-pretrain; json-splits
libras_alphabet,transformer,raw_angle,3,5,15,600,42,0.822711,0.007781,no-pretrain; json-splits
libras_alphabet,transformer,raw_angle,5,5,15,600,42,0.846644,0.007333,no-pretrain; json-splits
arabic_sign_alphabet,transformer,raw_angle,1,5,15,600,42,0.556111,0.009781,no-pretrain; json-splits
arabic_sign_alphabet,transformer,raw_angle,3,5,15,600,42,0.631778,0.009162,no-pretrain; json-splits
arabic_sign_alphabet,transformer,raw_angle,5,5,15,600,42,0.673244,0.009098,no-pretrain; json-splits
thai_fingerspelling,transformer,raw_angle,1,5,15,600,42,0.4232,0.007472,no-pretrain; json-splits
thai_fingerspelling,transformer,raw_angle,3,5,15,600,42,0.471156,0.007328,no-pretrain; json-splits
thai_fingerspelling,transformer,raw_angle,5,5,15,600,42,0.486556,0.00757,no-pretrain; json-splits
