dataset,encoder,representation,n_way,k_shot,seed,q_query_train,q_query_test,episodes_train,episodes_eval,epochs,best_epoch,accuracy_mean,ci95,eval_loss,train_samples,test_samples,classes,checkpoint
libras_alphabet,mlp,raw_angle,5,3,42,5,5,600,600,5,5,0.995667,0.001307,0.014371,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_3shot.pt
libras_alphabet,mlp,raw_angle,5,5,42,5,5,600,600,5,5,0.997067,0.000985,0.010254,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_mlp_raw_angle_5shot.pt
thai_fingerspelling,mlp,raw_angle,5,1,42,5,5,600,600,5,5,0.792400,0.010748,0.629154,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_1shot.pt
thai_fingerspelling,mlp,raw_angle,5,3,42,5,5,600,600,5,5,0.868200,0.008136,0.377666,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_3shot.pt
thai_fingerspelling,mlp,raw_angle,5,5,42,5,5,600,600,5,5,0.878467,0.007942,0.344632,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_mlp_raw_angle_5shot.pt
asl_alphabet,transformer,raw,5,1,42,5,5,600,600,5,5,0.962067,0.005699,0.090412,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_1shot.pt
asl_alphabet,transformer,raw,5,3,42,5,5,600,600,5,5,0.987400,0.002773,0.035615,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_3shot.pt
asl_alphabet,transformer,raw,5,5,42,5,5,600,600,5,5,0.988600,0.002362,0.035478,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_5shot.pt
arabic_sign_alphabet,transformer,raw,5,1,42,5,5,600,600,5,5,0.934000,0.007087,0.196465,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_1shot.pt
arabic_sign_alphabet,transformer,raw,5,3,42,5,5,600,600,5,5,0.968000,0.004140,0.092714,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_3shot.pt
arabic_sign_alphabet,transformer,raw,5,5,42,5,5,600,600,5,5,0.977733,0.003144,0.069431,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_5shot.pt
libras_alphabet,transformer,raw,5,1,42,5,5,600,600,5,5,0.971933,0.005121,0.058283,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_1shot.pt
libras_alphabet,transformer,raw,5,3,42,5,5,600,600,5,5,0.980600,0.004213,0.040720,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_3shot.pt
libras_alphabet,transformer,raw,5,5,42,5,5,600,600,5,5,0.982267,0.004061,0.034660,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_5shot.pt
thai_fingerspelling,transformer,raw,5,1,42,5,5,600,600,5,5,0.717467,0.011988,0.828090,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_1shot.pt
thai_fingerspelling,transformer,raw,5,3,42,5,5,600,600,5,5,0.807533,0.009690,0.512218,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_3shot.pt
thai_fingerspelling,transformer,raw,5,5,42,5,5,600,600,5,5,0.829067,0.009063,0.455924,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_5shot.pt
asl_alphabet,transformer,angle,5,1,42,5,5,600,600,5,5,0.941067,0.006922,0.136923,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_1shot.pt
asl_alphabet,transformer,angle,5,3,42,5,5,600,600,5,5,0.971067,0.004107,0.083034,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_3shot.pt
asl_alphabet,transformer,angle,5,5,42,5,5,600,600,5,5,0.975533,0.003535,0.074539,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_angle_5shot.pt
arabic_sign_alphabet,transformer,angle,5,1,42,5,5,600,600,5,5,0.930733,0.006539,0.198687,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_1shot.pt
arabic_sign_alphabet,transformer,angle,5,3,42,5,5,600,600,5,5,0.958667,0.004807,0.111069,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_3shot.pt
arabic_sign_alphabet,transformer,angle,5,5,42,5,5,600,600,5,5,0.963267,0.004228,0.100277,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_angle_5shot.pt
libras_alphabet,transformer,angle,5,1,42,5,5,600,600,5,5,0.981667,0.003457,0.051089,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_1shot.pt
libras_alphabet,transformer,angle,5,3,42,5,5,600,600,5,5,0.990467,0.001961,0.031648,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_3shot.pt
libras_alphabet,transformer,angle,5,5,42,5,5,600,600,5,5,0.992667,0.001557,0.025629,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_angle_5shot.pt
thai_fingerspelling,transformer,angle,5,1,42,5,5,600,600,5,5,0.692600,0.011718,0.858595,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_1shot.pt
thai_fingerspelling,transformer,angle,5,3,42,5,5,600,600,5,5,0.794733,0.009907,0.541159,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_3shot.pt
thai_fingerspelling,transformer,angle,5,5,42,5,5,600,600,5,5,0.823133,0.008791,0.458980,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_angle_5shot.pt
asl_alphabet,transformer,raw_angle,5,1,42,5,5,600,600,5,5,0.979200,0.004013,0.059082,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_1shot.pt
asl_alphabet,transformer,raw_angle,5,3,42,5,5,600,600,5,5,0.987400,0.002729,0.034213,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_3shot.pt
asl_alphabet,transformer,raw_angle,5,5,42,5,5,600,600,5,4,0.988667,0.002446,0.038170,1118,501,36,results\checkpoints\within_domain_trained_asl_alphabet_transformer_raw_angle_5shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,1,42,5,5,600,600,5,5,0.968133,0.004685,0.098976,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_1shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,3,42,5,5,600,600,5,5,0.983667,0.002664,0.049620,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_3shot.pt
arabic_sign_alphabet,transformer,raw_angle,5,5,42,5,5,600,600,5,5,0.985733,0.002264,0.044328,4952,2142,31,results\checkpoints\within_domain_trained_arabic_sign_alphabet_transformer_raw_angle_5shot.pt
libras_alphabet,transformer,raw_angle,5,1,42,5,5,600,600,5,5,0.993467,0.001877,0.017556,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_angle_1shot.pt
libras_alphabet,transformer,raw_angle,5,3,42,5,5,600,600,5,5,0.997733,0.000848,0.008850,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_angle_3shot.pt
libras_alphabet,transformer,raw_angle,5,5,42,5,5,600,600,5,5,0.998733,0.000646,0.005955,31973,13713,21,results\checkpoints\within_domain_trained_libras_alphabet_transformer_raw_angle_5shot.pt
thai_fingerspelling,transformer,raw_angle,5,1,42,5,5,600,600,5,5,0.797000,0.010584,0.561287,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_angle_1shot.pt
thai_fingerspelling,transformer,raw_angle,5,3,42,5,5,600,600,5,5,0.872933,0.007863,0.338080,1998,863,42,results\checkpoints\within_domain_trained_thai_fingerspelling_transformer_raw_angle_3shot.pt
